,year,month,day,name,location,country,elevation,type,status,total_deaths,total_deaths_description,total_injuries_description,total_damage_description,total_houses_destroyed_description,Tsunami caused?,Earthquake caused?,Volcano Explosive Index,longitude,latitude
161,1177,,,Katla,Iceland-S,Iceland,1512,Subglacial volcano,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,no,no,3,-19.05,63.63
162,1595,3,12,Ruiz,Colombia,Colombia,5321,Stratovolcano,Historical,636.0,Many (~101 to 1000 deaths),,,,no,no,4,-75.322,4.895
163,1598,,,Banda Api,Banda Sea,Pacific Ocean,640,Caldera,Historical,,Few (~1 to 50 deaths),,,,no,no,3,129.871,-4.525
164,1638,,,Raung,Java,Indonesia,3332,Stratovolcano,Historical,1001.0,Very Many (~1001 or more deaths),,,,no,no,4,114.042,-8.125
165,1659,9,30,San Salvador,El Salvador,El Salvador,1893,Stratovolcano,Historical,,,,,,no,yes,3,-89.286,13.736
166,1684,12,,Grimsvotn,Iceland-NE,Iceland,1725,Caldera,Historical,1.0,Few (~1 to 50 deaths),,,,no,no,2,-17.33,64.42
167,1693,2,13,Hekla,Iceland-S,Iceland,1491,Stratovolcano,Historical,,,,,,yes,no,4,-19.7,63.98
168,1694,11,20,Banda Api,Banda Sea,Pacific Ocean,640,Caldera,Historical,,Some (~51 to 100 deaths),,,,no,no,3,129.871,-4.525
169,1794,6,15,Vesuvius,Italy,Italy,1281,Complex volcano,Historical,400.0,Many (~101 to 1000 deaths),,SEVERE (~>$5 to $24 million),,no,no,3,14.426,40.821
170,1800,6,24,San Jorge,Azores,Portugal,1053,Fissure vent,Historical,9.0,Few (~1 to 50 deaths),,,,no,no,1,-28.08,38.65
171,1816,7,5,Aso,Kyushu-Japan,Japan,1592,Caldera,Historical,1.0,Few (~1 to 50 deaths),,,,no,no,2,131.1,32.88
172,1817,1,24,Ijen,Java,Indonesia,2799,Stratovolcano,Historical,,Some (~51 to 100 deaths),,,Some (~51 to 100 houses),no,no,2,114.242,-8.058
173,1825,,,Balbi,Bougainville-SW Paci,Papua New Guinea,2715,Stratovolcano,Holocene,,Many (~101 to 1000 deaths),,,,no,no,,154.98,-5.83
174,1846,11,18,E-san,Hokkaido-Japan,Japan,618,Stratovolcano,Historical,,Many (~101 to 1000 deaths),,,,no,no,1,141.17,41.8
175,1875,,,Mayon,Luzon-Philippines,Philippines,2462,Stratovolcano,Historical,1500.0,Very Many (~1001 or more deaths),,,,no,no,,123.685,13.257
176,1889,9,6,Banua Wuhu,Sangihe Is-Indonesia,Indonesia,-5,Submarine volcano,Historical,,,,,,yes,yes,2,125.491,3.138
